Simulation,Time,Population,Species,camouflage,feeding_bonus
1,43,0,Predator,,1.4686381187368878
1,44,3,Prey,0.7940859412419901,
1,44,0,Predator,,1.4686381187368878
1,45,4,Prey,0.7940859412419901,
1,45,0,Predator,,1.4686381187368878
1,46,6,Prey,0.7940859412419901,
1,46,0,Predator,,1.4686381187368878
1,47,7,Prey,0.7940859412419901,
1,47,0,Predator,,1.4686381187368878
1,48,9,Prey,0.7940859412419901,
1,48,0,Predator,,1.4686381187368878
1,49,12,Prey,0.7940859412419901,
1,49,0,Predator,,1.4686381187368878
1,50,14,Prey,0.7940859412419901,
1,50,0,Predator,,1.4686381187368878
1,51,18,Prey,0.7940859412419901,
1,51,0,Predator,,1.4686381187368878
1,52,22,Prey,0.7940859412419901,
1,52,0,Predator,,1.4686381187368878
1,53,26,Prey,0.7940859412419901,
1,53,0,Predator,,1.4686381187368878
1,54,31,Prey,0.7940859412419901,
1,54,0,Predator,,1.4686381187368878
1,55,36,Prey,0.7940859412419901,
1,55,0,Predator,,1.4686381187368878
1,56,43,Prey,0.7940859412419901,
1,56,0,Predator,,1.4686381187368878
1,57,49,Prey,0.7940859412419901,
1,57,0,Predator,,1.4686381187368878
1,58,59,Prey,0.7940859412419901,
1,58,0,Predator,,1.4686381187368878
1,59,69,Prey,0.7940859412419901,
1,59,0,Predator,,1.4686381187368878
2,0,115,Prey,0.5277158781519957,
2,0,75,Predator,,1.5516254186978247
2,1,106,Prey,0.5277158781519957,
2,1,81,Predator,,1.5516254186978247
2,2,86,Prey,0.5277158781519957,
2,2,93,Predator,,1.5516254186978247
2,3,86,Prey,0.5277158781519957,
2,3,102,Predator,,1.5516254186978247
2,4,59,Prey,0.5277158781519957,
2,4,117,Predator,,1.5516254186978247
2,5,56,Prey,0.5277158781519957,
2,5,119,Predator,,1.5516254186978247
2,6,48,Prey,0.5277158781519957,
2,6,122,Predator,,1.5516254186978247
2,7,37,Prey,0.5277158781519957,
2,7,123,Predator,,1.5516254186978247
2,8,29,Prey,0.5277158781519957,
2,8,119,Predator,,1.5516254186978247
2,9,20,Prey,0.5277158781519957,
2,9,112,Predator,,1.5516254186978247
2,10,18,Prey,0.5277158781519957,
2,10,109,Predator,,1.5516254186978247
2,11,18,Prey,0.5277158781519957,
2,11,102,Predator,,1.5516254186978247
2,12,11,Prey,0.5277158781519957,
2,12,98,Predator,,1.5516254186978247
2,13,8,Prey,0.5277158781519957,
2,13,93,Predator,,1.5516254186978247
2,14,12,Prey,0.5277158781519957,
2,14,86,Predator,,1.5516254186978247
2,15,7,Prey,0.5277158781519957,
2,15,85,Predator,,1.5516254186978247
2,16,6,Prey,0.5277158781519957,
2,16,83,Predator,,1.5516254186978247
2,17,4,Prey,0.5277158781519957,
2,17,81,Predator,,1.5516254186978247
2,18,4,Prey,0.5277158781519957,
2,18,68,Predator,,1.5516254186978247
2,19,2,Prey,0.5277158781519957,
2,19,63,Predator,,1.5516254186978247
2,20,2,Prey,0.5277158781519957,
2,20,58,Predator,,1.5516254186978247
2,21,2,Prey,0.5277158781519957,
2,21,56,Predator,,1.5516254186978247
2,22,1,Prey,0.5277158781519957,
2,22,52,Predator,,1.5516254186978247
2,23,1,Prey,0.5277158781519957,
2,23,47,Predator,,1.5516254186978247
2,24,1,Prey,0.5277158781519957,
2,24,45,Predator,,1.5516254186978247
2,25,2,Prey,0.5277158781519957,
2,25,41,Predator,,1.5516254186978247
2,26,1,Prey,0.5277158781519957,
2,26,38,Predator,,1.5516254186978247
2,27,2,Prey,0.5277158781519957,
2,27,37,Predator,,1.5516254186978247
2,28,3,Prey,0.5277158781519957,
2,28,33,Predator,,1.5516254186978247
2,29,4,Prey,0.5277158781519957,
2,29,29,Predator,,1.5516254186978247
2,30,2,Prey,0.5277158781519957,
2,30,28,Predator,,1.5516254186978247
2,31,2,Prey,0.5277158781519957,
2,31,23,Predator,,1.5516254186978247
